2018-02-27T11:07:46.986Z - info: Iniciando Serviço de Obtenção dos arquivos dos REPs: 
2018-02-27T11:07:46.989Z - info: #Iniciando request:  2018-02-27T11:07:46.987Z
2018-02-27T11:07:46.990Z - info: #Request Número:  0
2018-02-27T11:07:55.995Z - info: Ultima NSR processada:  000005956
2018-02-27T11:07:55.996Z - info: NSR calculada para início da leitura:  000005806
2018-02-27T11:07:55.996Z - info: Hora do readFile!
2018-02-27T11:07:56.001Z - info: Encontrou , ativando busca 
2018-02-27T11:07:56.003Z - info: Quantidade de marcações:  165
2018-02-27T11:07:56.003Z - info: hashMapSize:  65
2018-02-27T11:07:56.015Z - info: itemsProcessed:  65
2018-02-27T11:07:56.015Z - warn: ## Terminou tudo, chamaria o callback ##
2018-02-27T11:08:26.381Z - info: ## Apontamento atualizado com sucesso 2018-02-26T03:00:00.000Z
2018-02-27T11:08:26.381Z - info: ## Apontamento atualizado com sucesso 2018-02-22T03:00:00.000Z
2018-02-27T11:08:26.381Z - info: ## Apontamento atualizado com sucesso 2018-02-23T03:00:00.000Z
2018-02-27T11:08:26.382Z - info: ## Apontamento atualizado com sucesso 2018-02-26T03:00:00.000Z
2018-02-27T11:08:26.382Z - info: ## Apontamento atualizado com sucesso 2018-02-26T03:00:00.000Z
2018-02-27T11:08:26.383Z - info: ## Apontamento atualizado com sucesso 2018-02-26T03:00:00.000Z
2018-02-27T11:08:26.383Z - info: ## Apontamento atualizado com sucesso 2018-02-25T03:00:00.000Z
2018-02-27T11:08:26.384Z - info: ## Apontamento atualizado com sucesso 2018-02-25T03:00:00.000Z
2018-02-27T11:08:26.384Z - info: ## Apontamento atualizado com sucesso 2018-02-23T03:00:00.000Z
2018-02-27T11:08:26.384Z - info: ## Apontamento atualizado com sucesso 2018-02-23T03:00:00.000Z
2018-02-27T11:08:26.385Z - info: ## Apontamento atualizado com sucesso 2018-02-23T03:00:00.000Z
2018-02-27T11:08:26.387Z - info: ## Apontamento atualizado com sucesso 2018-02-25T03:00:00.000Z
